DEP_1761001657414|000000000004|DEPOSITO|20000,00|2025-10-20T17:07:37.417308100
DEP_1761002111025|000000000005|DEPOSITO|25000,00|2025-10-20T17:15:11.025529100
TR_ORIG_1761002180046|000000000005|RETIRO|12000,00|2025-10-20T17:16:20.046353400
TR_DST_1761002180046|000000000004|DEPOSITO|12000,00|2025-10-20T17:16:20.046353400

TR_ORIG_1762451542332|000000000004|RETIRO|30000,00|2025-11-06T11:52:22.332604300
TR_DST_1762451542332|000000000006|DEPOSITO|30000,00|2025-11-06T11:52:22.332604300
TR_ORIG_1762549859327|000000000004|RETIRO|300,00|2025-11-07T15:10:59.327621200
TR_DST_1762549859327|000000000009|DEPOSITO|300,00|2025-11-07T15:10:59.327621200
DEP_1762550303873|000000000009|DEPOSITO|400,00|2025-11-07T15:18:23.873049200
DEP_1762716198298|000000000010|DEPOSITO|2000,00|2025-11-09T13:23:18.299860400
TR_ORIG_1762716247557|000000000010|RETIRO|2000,00|2025-11-09T13:24:07.557899300
TR_DST_1762716247557|000000000007|DEPOSITO|2000,00|2025-11-09T13:24:07.557899300
DEP_1762716268348|000000000010|DEPOSITO|450000,00|2025-11-09T13:24:28.348602200
DEP_1762791595563|000000000011|DEPOSITO|10000.00|2025-11-10T10:19:55.563217900
TR_ORIG_1762791689206|000000000011|RETIRO|200.00|2025-11-10T10:21:29.206052900
TR_DST_1762791689206|000000000010|DEPOSITO|200.00|2025-11-10T10:21:29.206052900
